Country, Suppliers
"Albania,""NATO countries, Soviet Union"""
Algeria,Russia
"Angola,""Russia, Soviet Union"""
Antigua and Barbuda,US
"Argentina,""European countries, France, US"""
"Armenia,""Russia, Soviet Union"""
"Australia,""Canada, US"""
"Austria,""European countries, US"""
"Azerbaijan,""Belarus, Israel, Russia, Turkey"""
Bahamas,Netherlands
"Bahrain,"", US"""
"Bangladesh,""China, Russia"""
Barbados,Netherlands
"Belarus,""Russia, Soviet Union"""
"Belgium,""European countries, Israel, US"""
"Belize,""UK, US"""
"Benin,""France, Soviet Union, US"""
Bhutan,India
"Bolivia,""Brazil, China, European countries, France, US"""
"Bosnia and Herzegovina,""Soviet Union, US"""
"Botswana,""European countries, US"""
"Brazil,""European countries, US"""
"Brunei,""Asia, European countries, US"""
"Bulgaria,""Soviet Union, """
"Burkina Faso,""France, Russia, South Africa, Turkey, UK, US"""
"Burma,""China, Russia, Soviet Union"""
"Burundi,""China, France, Russia, South Africa, US"""
"Cabo Verde,""China, European countries, Soviet Union"""
"Cambodia,""China, Russia"""
"Cameroon,""China, France, Russia"""
"Canada,""Australia, European countries, Israel, US"""
"Central African Republic,""China, France, Russia, Soviet Union"""
"Chad,""Belgium, China, France, Russia, Soviet Union, Turkey, US"""
"Chile,""Australia, UK, US"""
China,Russia
"Colombia,""Canada, European countries, Israel, South Korea, US"""
"Comoros,""France, Italy, Russia, US"""
Congo, Democratic Republic of the,Soviet Union
"Congo, Republic of the,""France, South Africa, Soviet Union"""
Costa Rica,US
"Cote d'Ivoire,""Bulgaria, China, France, Soviet Union"""
"Croatia,""France, Germany, Soviet Union, US"""
"Cuba,""Russia, Soviet Union"""
"Cyprus,""France, Israel, Russia, Serbia"""
"Czechia,""Austria, Germany, Spain"""
"Denmark,""European countries, US"""
"Djibouti,""China, France, Netherlands, Soviet Union, US"""
Dominican Republic,US
"Ecuador,""Brazil, China, Germany, Russia, Spain, US"""
"Egypt,""France, Germany, Italy, Russia, US"""
El Salvador,US
"Equatorial Guinea,""Bulgaria, China, Israel, Russia"""
"Eritrea,""Russia, Soviet Union"""
"Estonia,""European countries, Israel, South Korea, Soviet Union, US"""
"Eswatini,""European countries, South Africa, US"""
"Ethiopia,""China, Israel, Russia, South Korea, Turkey, UAE, Ukraine"""
"Fiji,""Australia, China"""
"Finland,""European countries, Israel, Netherlands, South Korea, US"""
"France,""European countries, US"""
"Gabon,""Brazil, China, France, Germany, South Africa"""
"Gambia,""China, Turkey, UK, US"""
Gaza Strip,Iran
"Georgia,""European countries, Soviet Union, US"""
"Germany,""European countries, US"""
"Ghana,""China, Russia, """
"Greece,""European countries, France, Germany, US"""
"Guatemala,""Colombia, Spain, US"""
"Guinea,""China, France, South Africa, Soviet Union"""
Guinea-Bissau,Soviet Union
"Guyana,""Brazil, China, Soviet Union, UK, US"""
"Honduras,""Colombia, Israel, UK, US"""
"Hungary,""Germany, Soviet Union, US"""
Iceland,European countries
"India,""China, France, Israel, Russia, US"""
"Indonesia,""China, France, Germany, Netherlands, Russia, South Korea, US"""
"Iran,""China, North Korea, Russia, Soviet Union, US"""
"Iraq,""European countries, Russia, South Africa, South Korea, US"""
"Ireland,""European countries, UK"""
"Israel,""European countries, US"""
"Italy,""European countries, US"""
"Jamaica,""European countries, US"""
Japan,US
"Jordan,""European countries, Gulf States, Netherlands, Russia, US"""
"Kazakhstan,""Russia, Soviet Union"""
"Kenya,""China, France, Italy, UK, US"""
"North Korea,""China, Russia, Soviet Union"""
South Korea,US
"Kosovo,""Turkey, US"""
"Kuwait,""European countries, Russia, US"""
"Kyrgyzstan,""Belarus, Germany, Russia, Soviet Union, Turkey"""
"Laos,""China, Russia, Soviet Union"""
"Latvia,""UK, US"""
"Lebanon,""European countries, US"""
"Liberia,""China, US"""
"Libya,""Russia, Soviet Union, Turkey, UAE"""
"Lithuania,""Germany, US"""
"Madagascar,""South Africa, Soviet Union, UAE"""
"Malawi,""China, France, South Africa"""
"Malaysia,""European countries, South Korea, US"""
Maldives,India
"Mali,""China, Russia, Soviet Union"""
"Malta,""European countries, Italy, US"""
"Mauritania,""China, France, Soviet Union"""
"Mauritius,""European countries, India"""
"Mexico,""European countries, US"""
"Moldova,""Russia, Soviet Union, US"""
"Mongolia,""Russia, Soviet Union"""
"Montenegro,""Austria, Soviet Union, Turkey, US"""
"Morocco,""France, US"""
Mozambique,Soviet Union
"Namibia,""Brazil, China, Germany, India, South Africa"""
"Nepal,""China, India, Italy, Russia, South Africa, UK"""
"Netherlands,""European countries, US"""
New Zealand,US
"Nicaragua,""Russia, Soviet Union"""
Niger,US
"Nigeria,""China, European countries, Middle East, Russia, Soviet Union, US"""
"North Macedonia,""Soviet Union, Turkey, US"""
"Norway,""European countries, US"""
"Oman,""European countries, UK, US"""
"Pakistan,""China, France, Russia, Turkey, Ukraine, UK, US"""
"Palau,""Australia, Japan"""
"Panama,""Canada, Italy, US"""
Papua New Guinea,Australia
"Paraguay,""Brazil, US"""
"Peru,""Brazil, European countries, Russia, Soviet Union, South Korea, US"""
"Philippines,""Israel, South Korea, US"""
"Poland,""European countries, South Korea, US"""
"Portugal,""European countries, Germany, US"""
"Qatar,""European countries, France, Germany, Italy, UK, US"""
"Romania,""European countries, US"""
"Russia,""Domestic production"""
"Rwanda,""France, Russia, South Africa, Soviet Union"""
"Saint Kitts and Nevis,""Belgium, UK, US"""
"Saudi Arabia,""European countries, France, Spain, UK, US"""
"Senegal,""France, Russia, South Africa, Soviet Union"""
"Serbia,""China, Russia, Soviet Union"""
"Seychelles,""China, India, Soviet Union"""
"Sierra Leone,""Soviet Union"""
"Singapore,""European countries, France, US"""
"Slovakia,""Italy, Soviet Union, US"""
"Slovenia,""European countries, Soviet Union, US"""
"Solomon Islands,""Australia, China"""
"Somalia,""Italy, Russia, South Africa, UK, US"""
"South Africa,""Domestic production, European countries, Israel, US"""
South Sudan,Soviet Union
"Spain,""European countries, France, Germany, US"""
"Sri Lanka,""China, India, Russia, US"""
"Sudan,""China, Russia, Soviet Union, Turkey, Ukraine"""
Suriname,India
"Sweden,""Domestic production, European countries, US"""
"Switzerland,""Domestic production, US"""
"Syria,""Russia, Soviet Union"""
Taiwan,US
"Tajikistan,""Russia, Soviet Union"""
"Tanzania,""China, Soviet Union"""
"Thailand,""China, South Korea, Ukraine, US"""
"Timor-Leste,""China, South Korea, US"""
"Togo,""France, Russia, US"""
"Tonga,""Australia, European countries, UK, US"""
"Trinidad and Tobago,""Australia, China, Netherlands, UK, US"""
"Tunisia,""Netherlands, Turkey, US"""
"Turkey,""China, Domestic production, European countries, Russia, South Korea, US"""
"Turkmenistan,""China, Italy, Russia, Soviet Union, Turkey"""
"Uganda,""Belarus, Russia, Soviet Union"""
"Ukraine,""European countries, Russia, Soviet Union, US"""
"United Arab Emirates,""European countries, US"""
"United Kingdom,""European countries, US"""
"United States,""Domestic production, European countries"""
"Uruguay,""Spain"""
"Uzbekistan,""China, Russia, Soviet Union"""
"Venezuela,""China, Netherlands, Russia, Spain, US"""
"Vietnam,""Belarus, Israel, Netherlands, Russia, South Korea, US"""
"West Bank,""Jordan, Russia, US"""
"Yemen,""Gulf States, Iran, Russia, Saudi Arabia, UAE, US"""
"Zambia,""China, Italy, Russia, Soviet Union"""
"Zimbabwe,""China, Soviet Union"""
